Title,Url,Nostr Publickey,Desc,Source,Date(主要開発期間？),ジャンル１,ジャンル２,他キーワード,分類,大分類,小分類
NostViewstr(のすとびうあ),https://nostviewstr.vercel.app/,,Nostr上の様々なデータを閲覧、編集できるアプリ\nモバイル通信環境のために、画像非表示などの通信量を節約できる設定がある,https://github.com/TsukemonoGit/NostViewstr,"Nov , 2023",Nostr,WebApp," 
      nostr、
      svelte、
      sveltekit、
      skeletoncss、
      typescript、
      vercel、
    ",Webアプリ,アプリケーション,Webアプリ
Nostr Note Duplicater,https://dupstr.vercel.app/,,Nostr上のあるリレーに存在するノートを別のリレーに複製（ブロードキャスト）するアプリ,https://github.com/TsukemonoGit/dupstr,"Aug, 2023",Nostr,WebApp,nostr、 solidjs、 vercel、 typescript,Webアプリ,アプリケーション,Webアプリ
ぶくまびうあ,https://nostr-bookmark-viewer3.vercel.app/,,のすとびうあでもブックマークの閲覧編集はできるが、Bookmarkはkindが複数存在するため、ブックマーク関連のkindを集めてぶくまびうあとした。,https://github.com/TsukemonoGit/nostr-bookmark-viewer3,"Sep, 2023",Nostr,WebApp," 
      nostr、
      svelte、
      sveltekit、
      skeletoncss、
      typescript、
      vercel、
    ",Webアプリ,アプリケーション,Webアプリ
nostr-monoGazo-bot,https://tsukemonogit.github.io/nostr-monoGazo-bot/,npub1lxrlhyrfdl9sjdvx9xhwhag4d6s95sz3q8z09kgzp0cz73l2ffys9p726u,Nostrに投稿された もの ₍ ･ᴗ･ ₎ のイラストとか、₍ ･ᴗ･ ₎ っぽい写真つきの投稿を収集して、特定のワードに反応して画像を投稿したりするBot\nついでにサイトも作成\nNostrをやっていない人にも雰囲気を伝えるために、実際のNostrのポストも表示している。特定のブックマークに追加された画像を検知してもの画像に追加する機能も追加。,https://github.com/TsukemonoGit/nostr-monoGazo-bot," Sep, 2023",Nostr,Bot," 
      nostr、
      bot、
      raspberrypi、
      solidjs、
      GithubPages、
      javascript、
      typescript、
      pandacss、
      Node.js、
      GoogleSheetsAPI、
    ",Bot,アプリケーション,Bot
うちの温度と湿度と気圧Bot,https://tsukemonogit.github.io/M5MyRoomNostr/,npub1sm73eqxq0h4mc0ge9ymhkfx5haj6skhjdzh3tndz4n8y2n0kwzlq57nl7v,"M5Stack Core2 と 温湿度気圧センサーユニット を使って、部屋の温湿度気圧情報をNostrに一時間おきに投稿するBot\n公開されるため、温度の上げ過ぎ下げすぎに気をつけることができる。
https://zenn.dev/konemono/articles/4fafb0d14ffcbd 記事も書いた",https://github.com/TsukemonoGit/M5MyRoomNostr,May.2023,Nostr,Bot,Nostr、 bot、 M5 stack、 microPython,Bot,アプリケーション,Bot
ぶろっくをわくにはめるやつ,https://unityroom.com/games/pu,,ブロックを枠にはめるゲーム\nこういうゲームの配信をしているところを見て作ってみた\nブロックの立体感を出すためにblenderで素材を作成\n出口（ドア）は手書き,,Jan.2023,Game,,Unity、 C#、 blender,ゲーム,アプリケーション,ゲーム
ぱたぱた,https://unityroom.com/games/ptpt,,ライツアウトのようなゲーム\nパズロムという雑誌に収録されていた ぱたぱた というゲームをUnityで再現し、アレンジを加えたもの\nブロックの立体感を出すためにblenderで素材を作成,https://github.com/TsukemonoGit/patapata,Jun.2022,Game,,Unity、 C#、 blender、 パズロム,ゲーム,アプリケーション,ゲーム
りばーし,https://unityroom.com/games/onlineothelloo,,オンライン対戦できるリバーシ\n制限時間を設定することができ、制限時間を過ぎると適当な場所に勝手に置かれるようになっている,https://github.com/TsukemonoGit/OthelloOnline,Sep.2022,Game,,Unity、 C#、 blender、 online,ゲーム,アプリケーション,ゲーム
buatuihodogood,https://unityroom.com/games/buatuihodogood,,とある分厚い机で配信をしている方をリスペクトしたクリックゲーム\n一部キャラクター、素材はblenderで自作,,Jul.2022,Game,カシふぁん,Unity、 C#、 blender、 online,ゲーム,アプリケーション,ゲーム
かしふぁん２,https://unityroom.com/games/kashifan2,,とある分厚い机で配信をしている方をリスペクトした横スクロールゲーム\n途中まで\nキャラクター、素材はblenderで自作,,Mar.2022,Game,カシふぁん,Unity、 C#、 blender,ゲーム,アプリケーション,ゲーム
カシファン,https://unityroom.com/games/fancolle,,とある分厚い机で配信をしている方をリスペクトした3Dゲーム\nキャラクター、素材はblenderで自作\nデータをぶっ飛ばしながら作成し、gitに手を出しはじめた頃,https://github.com/TsukemonoGit/wakeUpVer2,Jul.2022,Game,カシふぁん,Unity、 C#、 blender,ゲーム,アプリケーション,ゲーム
ファンズっちWindowsマウスカーソル等,https://github.com/TsukemonoGit/TsukemonoGit.github.io/releases/tag/1.0,,マウスカーソルとしめじスキン,,Aug. 2022,Cursor,カシふぁん,cursor、 デスクトップマスコット,,その他,未分類
ふりせる,https://unityroom.com/games/test_game_test,,フリーセル,,Jan.2022,Game,,Unity、 C#,ゲーム,アプリケーション,ゲーム
tohu,https://unityroom.com/games/tohu,,パズロムという雑誌に収録されていた スクールユミちゃん というゲームをUnityで再現したもの\n元はパソコンゲームだが、スマホでもプレイできるようにボタンを設置\n素材はほぼほぼExcelで作成,https://github.com/TsukemonoGit/scym,Dec.2021,Game,,C#、 Unity、 パズロム,ゲーム,アプリケーション,ゲーム
そーとするやつ,https://unityroom.com/games/sort_suruyatu,,スマホゲームストアでよく見るゲーム,,Dec.2021,Game,,Unity、 C#,ゲーム,アプリケーション,ゲーム
てとりす,https://unityroom.com/games/teto,,初めてUnityで作ったゲーム\nテトラ以外のミノも設定できる\nホールドもできる,,Oct.2021,Game,,Unity、 C#,ゲーム,アプリケーション,ゲーム
MyTimer,https://tsukemonogit.github.io/Timer/,,通知音を設定できる、メモ付きでタイマー情報を保存できる Windows Software,https://github.com/TsukemonoGit/Timer,Sep.2022,Software,,C#,ソフトウェア,その他,未分類
最自由研究2022,https://tsukemonogit.github.io/Freest2022/,,ゲームとカーソル倒錯性で提出 アーカイブはこちらのどこか→（https://youtube.com/playlist?list=PLYzId9nzefaYBC1PHHOPGfuH84qd44bjb） https://kashiwooo.wixsite.com/reserch,https://github.com/TsukemonoGit/Freest2022,Aug. 2022,Article,カシふぁん,,記事,その他,未分類
NIPs Check Bot,,"npub17sysrj0cgny7jtplj50dtzmjng49sxw0st6eqsparpjc0gft07squxl7m4

","NIPs のOpenなプルリクエストの中からランダムで二時間に一回Nostrに投稿する
NIPsの中からランダムで二時間に一回Nostrに投稿する",https://github.com/TsukemonoGit/nipschecker,Mar.2025,Nostr,Bot,,Bot,アプリケーション,Bot
じほうちゃん,,npub1slszekg4rjlknw3qy69z5s3h45hnnlrrrjt9tr3ffjsqtpj8wsfqfgh8l7,"これが一番早いと思います。
アイコンはマウス書き",https://github.com/TsukemonoGit/jihou-chan,Feb.2023,Nostr,Bot,,Bot,アプリケーション,Bot
"Hello Nostr, Yo Bluesky 3
未来を担う分散型SNS",https://books.428lab.net/book/004/,,技術書典17 もののツールたち,,Nov. 2024,Article,Nostr,,記事,記事・出版物,記事
"Enjoy 分散型SNS
メタクソ化の特効薬は分散型だけ！",https://books.428lab.net/book/005/,,"技術書典18
Nostrで助成金もらった話 申請編
Nostrで助成金もらった話 税務署編",,May. 2025,Article,Nostr,,記事,記事・出版物,記事
Zenn,https://zenn.dev/konemono,,Nostrでいろいろやった話とかの記事,,,アカウント,Article,,アカウント,記事・出版物,記事
Github,https://github.com/TsukemonoGit,,tsukemonoGit,,,アカウント,Github,,アカウント,その他,未分類
Nostr,,npub1sjcvg64knxkrt6ev52rywzu9uzqakgy8ehhk8yezxmpewsthst6sw3jqcw,mono,,,アカウント,Nostr,,アカウント,その他,未分類
Unityroom,https://unityroom.com/users/ltoyvre,,ltoyvre,,,アカウント,Game,,アカウント,アプリケーション,ゲーム
Bluesky,https://bsky.app/profile/mono.bsky.social,,mono,,,アカウント,Bluesky,,アカウント,その他,未分類
npm,https://www.npmjs.com/~konemono,,konemono,,,アカウント,npm,,アカウント,その他,未分類
